Phase,Number,Name,Program,Project Manager,Portfolio Category,Gate 1,Gate 2,Gate 3,30% Design,60% Design,90% Design,NTP Issued/Start Con,Project Substantial Completion,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference),30% Design (Performance/Reference),60% Design (Performance/Reference),90% Design (Performance/Reference),NTP Issued/Start Con (Performance/Reference),Project Substantial Completion (Performance/Reference),Schedule Variance
IMPLEMENT,1136001,RSD 277TH ST BRG 3126 REPL,,"Premachandra, Hiromal",Bridges & Structures,1/9/2019,2/4/2020,12/18/2020,2/25/2020,5/18/2020,8/20/2020,7/23/2021,11/19/2021,1/9/2019,2/4/2020,12/18/2020,2/25/2020,5/18/2020,8/20/2020,7/6/2021,11/9/2021,3.06%
CLOSEOUT,1136084,RSD 2019-20 NEW GRDRAIL CONST,RSD CWP GUARDRAIL CONSTRUCTION,"Mott, Linda",Roadside,1/22/2019,,7/1/2019,9/11/2019,8/30/2019,10/31/2019,8/26/2020,1/20/2021,1/22/2019,,7/1/2019,9/11/2019,8/30/2019,10/31/2019,8/26/2020,1/20/2021,9.85%
IMPLEMENT,1136085,RSD 2019-20 GUARDRAIL PRESRVTN,RSD CWP GUARDRAIL PRESERVATION,"Mott, Linda",Roadside,1/22/2019,,11/18/2019,,,5/14/2020,1/4/2021,7/30/2021,1/22/2019,,11/18/2019,,,5/14/2020,1/4/2021,7/30/2021,10.71%
DESIGN,1136086,RSD 218TH AV SE RECONSTRUCTION,RSD CWP ROADWAY PRESERVATION,"Linders, Jon",Roadway,1/22/2019,2/19/2019,9/24/2021,2/20/2020,9/17/2020,3/2/2021,5/16/2022,10/10/2022,1/22/2019,,7/5/2021,2/20/2020,9/17/2020,3/2/2021,3/25/2022,9/30/2021,0.00%
DESIGN,1136228,RSD PET RD AT 134TH CULVERT,,"Mitchell, Mark C.",Drainage,,,,,,,,,,,,,,,,,
PREDESIGN,1136229,RSD 180TH AT 408TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Mitchell, Mark C.",Drainage,1/20/2020,1/31/2022,3/15/2022,2/28/2022,6/15/2022,9/15/2022,,,1/20/2020,8/6/2021,8/20/2021,8/13/2021,10/15/2021,12/31/2021,,,
PLANNING,1136230,RSD FAIRWOOD E OF 151 CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Cassidy, Jon",Drainage,,,,,,,,,,,,,,,,,
PREDESIGN,1136231,RSD 185TH AT 179TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Mitchell, Mark C.",Drainage,4/6/2020,1/17/2022,1/31/2022,1/28/2022,1/14/2022,4/4/2022,6/16/2031,9/17/2131,4/6/2020,7/16/2021,7/30/2021,7/26/2021,9/30/2021,11/5/2021,,,
DESIGN,1136232,RSD 18430 NE 128TH WY CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Mitchell, Mark C.",Drainage,4/13/2020,10/22/2020,7/14/2021,5/26/2020,10/22/2020,6/7/2021,,,4/13/2020,10/22/2020,7/15/2021,5/26/2020,10/22/2020,6/7/2021,,,
DESIGN,1136233,RSD LAKE JOY AT 118TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Quach, Dieu",Drainage,9/27/2019,9/13/2019,1/31/2022,9/13/2019,12/10/2019,4/14/2021,7/19/2021,9/30/2021,9/27/2019,9/13/2019,7/30/2021,9/13/2019,12/10/2019,4/14/2021,7/12/2022,10/17/2022,
PREDESIGN,1136234,RSD WD DUV AT 172ND CULVERT,,"Wang, Jun",Drainage,9/4/2020,11/18/2020,2/25/2022,7/1/2021,1/28/2022,3/25/2022,6/20/2022,8/26/2022,9/4/2020,11/18/2020,7/30/2021,7/1/2021,8/13/2021,11/5/2021,6/6/2022,8/26/2022,
DESIGN,1136235,RSD AVONDALE AND 144TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Mitchell, Mark C.",Drainage,4/16/2020,7/16/2020,4/12/2021,9/15/2020,9/30/2020,5/18/2021,,,4/16/2020,7/16/2020,4/12/2021,9/15/2020,9/30/2020,5/18/2021,,,
DESIGN,1136236,RSD 165TH AND 176TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Mitchell, Mark C.",Drainage,4/6/2020,10/22/2020,7/14/2021,7/15/2020,10/9/2020,5/25/2021,,,4/6/2020,10/22/2020,7/15/2021,7/15/2020,10/9/2020,5/25/2021,,,
PREDESIGN,1136237,RSD S 370TH ST CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Lyou, John",Drainage,4/6/2020,1/22/2021,7/29/2022,6/30/2022,9/30/2022,11/30/2022,7/7/2031,9/30/2031,4/6/2020,1/22/2021,8/20/2021,7/16/2021,9/30/2021,10/29/2021,7/7/2031,9/30/2031,
DESIGN,1136238,RSD 33609 NE 24TH ST CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Quach, Dieu",Drainage,1/29/2021,1/31/2022,1/31/2022,3/30/2021,5/31/2021,1/31/2022,7/5/2023,8/30/2023,1/29/2021,7/30/2021,8/31/2021,3/30/2021,5/31/2021,9/30/2021,7/7/2031,8/30/2031,
