Phase,Number,Name,Program,Master,Active,Project Manager,Portfolio Category,Gate 1,Gate 2,Gate 3,30% Design,60% Design,90% Design,NTP Issued/Start Con,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference),30% Design (Performance/Reference),60% Design (Performance/Reference),90% Design (Performance/Reference),NTP Issued/Start Con (Performance/Reference),Capital/Operating
CLOSEOUT,1132958,RSD 15 MILE BRDG #1384A LOAD,RSD QUICK RESPONSE,No,Yes,"Martin, TingTing",Contingencies,,,,,,,,,,,,,,,Capital Project
CLOSEOUT,1133219,RSD VASHON HWY SW PAVE PRES,RSD CWP ROADWAY PRESERVATION,No,Yes,"Daggs, Victor",Roadway,,,4/5/2018,,,,,,,4/5/2018,,,,,Capital Project
CLOSEOUT,1133220,RSD 2018 CNTYWDE PAVE PRES,RSD CWP ROADWAY PRESERVATION,No,Yes,"Moore, Paul",Roadway,,1/1/2018,1/1/2018,1/1/2018,,,8/13/2018,,,,,,,,Capital Project
CLOSEOUT,1133413,RSD SE SAWYER RDG OVERLAY,RSD CW ROADWAY PRESERVATION,No,Yes,"Moore, Paul",Roadway,,,,,,,,,,,,,,,Capital Project
CLOSEOUT,1133440,RSD MOUNT VIEW RD REPAIR,RSD CWP QUICK RESPONSE,No,Yes,"Shular, Ryan",Roadside,,,,,,,,,,,,,,,Capital Project
CLOSEOUT,1133757,RSD 2018 BITUM SURF TREATMENT,RSD CWP ROADWAY PRESERVATION,No,Yes,"Moore, Paul",Roadway,,1/1/2018,1/1/2018,1/1/2018,,,8/13/2018,,,,,,,,Capital Project
CLOSEOUT,1133864,RSD NE NVLTY HILL RD TRAIL,RSD CWP QUICK RESPONSE,No,Yes,"Sahagun, Dan",Roadside,,,,1/22/2018,,,,,,,,,,,Capital Project
PLANNING,1134079,RSD KENTKANGLEY LNDSBRG RNDABT,,No,Yes,"Linders, Jon",Traffic Control,1/3/2020,9/21/2023,10/25/2023,10/11/2023,,,,1/3/2020,,,,,,,Capital Project
PLANNING,1134080,RSD WDDUV SNOQ VALLEY IMPROVE,,No,Yes,"Linders, Jon",Roadway,9/14/2022,9/21/2023,10/25/2023,10/11/2023,,,,9/14/2022,9/21/2023,10/25/2023,10/11/2023,,,,Capital Project
DESIGN,1134081,RSD REDMOND RIDGE DR NE RNDABT,,No,Yes,"Karinen, Martin",Traffic Control,2/13/2019,,11/6/2019,6/19/2019,8/29/2019,11/6/2019,7/6/2022,2/13/2019,,11/6/2019,6/19/2019,8/29/2019,11/6/2019,5/6/2022,Capital Project
